wt_soft,wt_hard,wt_uni_soft,wt_uni_hard,wqn,scale
0.07928260177192495,0.07978030495733529,0.6786039001683465,0.27358866804067966,0.11414981514040623,1
0.13241065873945895,0.12933581235995129,0.9068345403647254,0.21533946163910392,0.1929875014904528,2
0.21732274197045062,0.21455484148961212,1.0888614375979588,0.30319561349924395,0.2718589154862524,3
0.3347359331092959,0.332636726348626,1.258048713523688,0.32856964992429327,0.3513613217039002,4
0.483718977011081,0.48341487129994076,1.4340618979514546,0.4699507810831872,0.447500581233341,5
0.6651808135765678,0.6657066483301413,1.640831930207646,0.6478897427694806,0.4777853144186156,6
0.8790148671035855,0.8799753688435173,1.8782402459387657,0.8519906160439997,0.6277581267243102,7
1.125311064326016,1.1242605089904916,2.1462303591928054,1.089670890917275,0.7196274684607387,8
1.403339255435455,1.402595167758485,2.44680559539961,1.3930494786399286,0.7623496724217452,9
1.7137730444662753,1.7129174956453397,2.781568908950177,1.700406064640155,0.8189771395093921,10
2.056607049827314,2.055508168604454,3.148892415098178,2.0743929967855896,0.8829332352033811,11
2.4317242328963546,2.4303774977560373,3.5510293983273273,2.453366416405624,0.9084613055064993,12
2.839086084060727,2.8374757791203744,3.985750730218923,2.8651140981967624,0.9787446580637563,13
3.2787178739170186,3.276829172037862,4.4528262837858925,3.301566996214023,1.0351141911397002,14
3.7506167839604823,3.7485454447846975,4.951992497016164,3.7775244852119547,1.0592186317929635,15
4.254375477954322,4.252354859727231,5.483585861402961,4.284226517120247,1.072155285695629,16
4.790760463092556,4.788459414461445,6.047468158430603,4.822813616940955,1.0833628479613522,17
5.359411784524239,5.356886094042624,6.643677836485092,5.39557755094662,1.1352028063271613,18
5.960330799617837,5.957563507412412,7.27228330528895,5.998726007348274,1.1569355768256555,19
0.04881232507074468,0.048193995362457484,0.3060738029718929,0.10591352947672317,0.7135324928127832,1
0.13109470466298936,0.13039388552808526,0.45922478927600807,0.15904842987519,0.7437161567748222,2
0.2709840999311667,0.2696179392417215,0.6309257399773076,0.2941269120391538,0.9489451300198997,3
0.4680548866709454,0.4661558670799138,0.857048501045044,0.4987105946358963,1.0235754301998226,4
0.7221225660255742,0.7199838884202567,1.1398885152952984,0.7447076903972949,1.0639613827177512,5
1.0331848163222455,1.032075423812981,1.4734872617529529,1.051572073165214,1.1125601374884002,6
1.401633042300674,1.3990295673426565,1.8613190712026306,1.3785704244409547,1.1252299435233046,7
1.8272394176693378,1.8241106578750206,2.2999544111619525,1.7911106748319878,1.1537935140524376,8
2.3092131902292854,2.3065707509265967,2.7933316817912286,2.2621599628806837,1.197667158465624,9
2.8489111351113015,2.8457522185378816,3.3423338477541895,2.789738326410914,1.2072352112308322,10
3.4457439509077026,3.4414978696345004,3.947039064877542,3.37277882224261,1.2225865064424584,11
4.099750695405413,4.094763683393378,4.607433211444618,4.0117348975319524,1.2407289987253383,12
4.810782882687787,4.805272031038805,5.3266654659635,4.804066348812423,1.2518950352168159,13
5.576385857128116,5.572810697204536,6.107202190882813,5.570731008497135,1.2542052624154456,14
6.401365459851181,6.39741545752241,6.944784410410103,6.396264482070946,1.2668473054322114,15
7.283469988416545,7.278995041850999,7.839416808105349,7.27760594625953,1.303982668795162,16
8.222670100535517,8.217787357207943,8.791043605549227,8.214584293076825,1.3061451201832046,17
9.218970442922192,9.213625729326013,9.799571888106083,9.209693758386331,1.3243991175573488,18
10.272381399881914,10.266562835706809,10.865114555352942,10.261752616610071,1.3280563927869216,19
0.10224476012561189,0.10700830491091162,0.7041147690599233,0.38034680991596365,0.14393634679164063,1
0.16234463767317808,0.16148786373128513,1.1440524709833217,0.25480582102187205,0.31142998790285165,2
0.24778345340014316,0.24639555506094807,1.3489867840110927,0.3821344356837515,0.517440341672063,3
0.365207987963312,0.36321005116692207,1.5688702354372897,0.510521756150478,0.6399788248037805,4
0.5142897847530716,0.5121487673499845,1.8108186318024748,0.7269778505540545,0.6817333490172602,5
0.6964280811756336,0.6928138396712874,2.0812112560709224,0.8009257259415228,0.7585246470510245,6
0.9077974377212846,0.9045541598313314,2.333684073422767,0.9429269364324642,0.8504775185397099,7
1.1521808334975068,1.1472118199587287,2.610302968034287,1.1785933528257349,0.9988529864408286,8
1.4284134977134184,1.4224274821978102,2.9146211780975673,1.4561339722993734,1.0817936657693208,9
1.7361112854249567,1.7298877397279262,3.2502499203398703,1.7668650119154738,1.1135515720776143,10
2.071994307176167,2.068435738791959,3.616925380632784,2.0980548645206247,1.1514561735503674,11
