denoiser,realization,scale,mse
wt_isoft,7,11,0.2234150211071818
wt_usoft,7,11,4.004371687391692
wqn,7,12,0.428042845864431
wt_ihard,7,12,0.33161899560888
wt_isoft,7,12,0.23307147477608187
wt_usoft,7,12,4.014380977019345
wqn,7,13,0.4303869288572277
wt_ihard,7,13,0.3316930463527567
wt_isoft,7,13,0.23377890450146302
wt_usoft,7,13,4.02377111651416
wqn,7,14,0.4299431454633453
wt_ihard,7,14,0.3317151393377101
wt_isoft,7,14,0.23435233034459668
wt_usoft,7,14,4.033413660519676
wqn,7,15,0.4317898678413848
wt_ihard,7,15,0.33197267465534497
wt_isoft,7,15,0.23495079424576065
wt_usoft,7,15,4.042597373856495
wqn,7,16,0.4367625801795823
wt_ihard,7,16,0.3320869952731566
wt_isoft,7,16,0.23642665118401335
wt_usoft,7,16,4.052101968390852
wqn,7,17,0.4497294349560725
wt_ihard,7,17,0.3323149536259411
wt_isoft,7,17,0.23844168786940953
wt_usoft,7,17,4.0618678193016144
wqn,7,18,0.45141523292236596
wt_ihard,7,18,0.3263399974979171
wt_isoft,7,18,0.24070327439452913
wt_usoft,7,18,4.072497192169184
wqn,7,19,0.45285645386893203
wt_ihard,7,19,0.32693147689785707
wt_isoft,7,19,0.24312213639290484
wt_usoft,7,19,4.08457301040806
wqn,7,20,0.45413344545697176
wt_ihard,7,20,0.32756577436961193
wt_isoft,7,20,0.24566236865218918
wt_usoft,7,20,4.096930234067409
wqn,8,0,6.590531184113819e-23
wt_ihard,8,0,6.590531184113819e-23
wt_isoft,8,0,6.590531184113819e-23
wt_usoft,8,0,6.590531184113819e-23
wqn,8,1,0.06146957827298147
wt_ihard,8,1,0.031632779044505024
wt_isoft,8,1,0.03014200610637452
wt_usoft,8,1,0.4832517633621207
wqn,8,2,0.06899746026368281
wt_ihard,8,2,0.03176504104607858
wt_isoft,8,2,0.030000747220910822
wt_usoft,8,2,0.5630730900298475
wqn,8,3,0.07153980475296767
wt_ihard,8,3,0.031894941321471984
wt_isoft,8,3,0.03043410226342831
wt_usoft,8,3,0.6065222233840522
wqn,8,4,0.09467004287424977
wt_ihard,8,4,0.03206759756270988
wt_isoft,8,4,0.030178273694919974
wt_usoft,8,4,0.6378176186430164
wqn,8,5,0.09934839435451087
wt_ihard,8,5,0.05599384170427274
wt_isoft,8,5,0.03825104894882534
wt_usoft,8,5,0.6519033642445171
wqn,8,6,0.1000302136115013
wt_ihard,8,6,0.056994336243880096
wt_isoft,8,6,0.03894689819141742
wt_usoft,8,6,0.6563970082461387
wqn,8,7,0.10066189800378324
wt_ihard,8,7,0.058049019569603344
wt_isoft,8,7,0.03969950226066615
wt_usoft,8,7,0.660770356564129
wqn,8,8,0.10130989236702961
wt_ihard,8,8,0.05915065642877816
wt_isoft,8,8,0.04050052068399471
wt_usoft,8,8,0.6635697512705561
wqn,8,9,0.1015737976493625
wt_ihard,8,9,0.06030495926951091
wt_isoft,8,9,0.04135349237925441
wt_usoft,8,9,0.6665540485635817
wqn,8,10,0.10196345164543875
wt_ihard,8,10,0.06150452528957082
wt_isoft,8,10,0.0422547545232715
wt_usoft,8,10,0.6690256483864232
wqn,8,11,0.10035278716022245
wt_ihard,8,11,0.06275971761477767
wt_isoft,8,11,0.043207115664085555
wt_usoft,8,11,0.6714404152889184
wqn,8,12,0.1001316729847128
